id,name,value,datetime
1293,Demanda real,29191,9/3/2018 23:30
1293,Demanda real,28822,9/3/2018 23:40
1293,Demanda real,28228,9/3/2018 23:50
1293,Demanda real,28023,9/4/2018 0:00
1293,Demanda real,28334,9/4/2018 0:10
1293,Demanda real,28180,9/4/2018 0:20
1293,Demanda real,28077,9/4/2018 0:30
1293,Demanda real,27850,9/4/2018 0:40
1293,Demanda real,27279,9/4/2018 0:50
1293,Demanda real,27080,9/4/2018 1:00
1293,Demanda real,26946,9/4/2018 1:10
1293,Demanda real,26702,9/4/2018 1:20
1293,Demanda real,26259,9/4/2018 1:30
1293,Demanda real,25926,9/4/2018 1:40
1293,Demanda real,25901,9/4/2018 1:50
1293,Demanda real,25512,9/4/2018 2:00
1293,Demanda real,25576,9/4/2018 2:10
1293,Demanda real,25564,9/4/2018 2:20
1293,Demanda real,25444,9/4/2018 2:30
1293,Demanda real,25054,9/4/2018 2:40
1293,Demanda real,25197,9/4/2018 2:50
1293,Demanda real,25202,9/4/2018 3:00
1293,Demanda real,25062,9/4/2018 3:10
1293,Demanda real,24974,9/4/2018 3:20
1293,Demanda real,24989,9/4/2018 3:30
1293,Demanda real,24916,9/4/2018 3:40
1293,Demanda real,24967,9/4/2018 3:50
1293,Demanda real,24817,9/4/2018 4:00
1293,Demanda real,24464,9/4/2018 4:10
1293,Demanda real,24638,9/4/2018 4:20
1293,Demanda real,24511,9/4/2018 4:30
1293,Demanda real,24596,9/4/2018 4:40
1293,Demanda real,24708,9/4/2018 4:50
1293,Demanda real,24721,9/4/2018 5:00
1293,Demanda real,24855,9/4/2018 5:10
1293,Demanda real,24876,9/4/2018 5:20
1293,Demanda real,25215,9/4/2018 5:30
1293,Demanda real,25167,9/4/2018 5:40
1293,Demanda real,25031,9/4/2018 5:50
1293,Demanda real,25398,9/4/2018 6:00
1293,Demanda real,26473,9/4/2018 6:10
1293,Demanda real,26405,9/4/2018 6:20
1293,Demanda real,27047,9/4/2018 6:30
1293,Demanda real,27271,9/4/2018 6:40
1293,Demanda real,27807,9/4/2018 6:50
1293,Demanda real,28192,9/4/2018 7:00
1293,Demanda real,29076,9/4/2018 7:10
1293,Demanda real,29198,9/4/2018 7:20
1293,Demanda real,29662,9/4/2018 7:30
1293,Demanda real,29901,9/4/2018 7:40
1293,Demanda real,29951,9/4/2018 7:50
1293,Demanda real,29801,9/4/2018 8:00
1293,Demanda real,30496,9/4/2018 8:10
1293,Demanda real,30871,9/4/2018 8:20
1293,Demanda real,31227,9/4/2018 8:30
1293,Demanda real,31360,9/4/2018 8:40
1293,Demanda real,31942,9/4/2018 8:50
1293,Demanda real,32029,9/4/2018 9:00
1293,Demanda real,32877,9/4/2018 9:10
1293,Demanda real,32936,9/4/2018 9:20
1293,Demanda real,33130,9/4/2018 9:30
1293,Demanda real,33396,9/4/2018 9:40
1293,Demanda real,33705,9/4/2018 9:50
1293,Demanda real,33801,9/4/2018 10:00
1293,Demanda real,33963,9/4/2018 10:10
1293,Demanda real,34005,9/4/2018 10:20
1293,Demanda real,34233,9/4/2018 10:30
1293,Demanda real,34442,9/4/2018 10:40
1293,Demanda real,34755,9/4/2018 10:50
1293,Demanda real,34881,9/4/2018 11:00
1293,Demanda real,34895,9/4/2018 11:10
1293,Demanda real,35119,9/4/2018 11:20
1293,Demanda real,35161,9/4/2018 11:30
1293,Demanda real,35415,9/4/2018 11:40
1293,Demanda real,35382,9/4/2018 11:50
1293,Demanda real,35571,9/4/2018 12:00
1293,Demanda real,35730,9/4/2018 12:10
1293,Demanda real,35841,9/4/2018 12:20
1293,Demanda real,36079,9/4/2018 12:30
1293,Demanda real,36050,9/4/2018 12:40
1293,Demanda real,36025,9/4/2018 12:50
1293,Demanda real,36173,9/4/2018 13:00
1293,Demanda real,36244,9/4/2018 13:10
1293,Demanda real,36450,9/4/2018 13:20
1293,Demanda real,36244,9/4/2018 13:30
1293,Demanda real,36344,9/4/2018 13:40
1293,Demanda real,36152,9/4/2018 13:50
1293,Demanda real,36020,9/4/2018 14:00
1293,Demanda real,35989,9/4/2018 14:10
1293,Demanda real,35932,9/4/2018 14:20
1293,Demanda real,35739,9/4/2018 14:30
1293,Demanda real,35640,9/4/2018 14:40
1293,Demanda real,35342,9/4/2018 14:50
1293,Demanda real,35303,9/4/2018 15:00
1293,Demanda real,35463,9/4/2018 15:10
1293,Demanda real,35310,9/4/2018 15:20
1293,Demanda real,35325,9/4/2018 15:30
1293,Demanda real,35329,9/4/2018 15:40
1293,Demanda real,35404,9/4/2018 15:50
1293,Demanda real,35114,9/4/2018 16:00
1293,Demanda real,35183,9/4/2018 16:10
1293,Demanda real,35457,9/4/2018 16:20
1293,Demanda real,35118,9/4/2018 16:30
1293,Demanda real,35178,9/4/2018 16:40
1293,Demanda real,35139,9/4/2018 16:50
1293,Demanda real,34981,9/4/2018 17:00
1293,Demanda real,35121,9/4/2018 17:10
1293,Demanda real,34954,9/4/2018 17:20
1293,Demanda real,34899,9/4/2018 17:30
1293,Demanda real,34943,9/4/2018 17:40
1293,Demanda real,34805,9/4/2018 17:50
1293,Demanda real,34505,9/4/2018 18:00
1293,Demanda real,34423,9/4/2018 18:10
1293,Demanda real,34172,9/4/2018 18:20
1293,Demanda real,34278,9/4/2018 18:30
1293,Demanda real,33887,9/4/2018 18:40
1293,Demanda real,33968,9/4/2018 18:50
1293,Demanda real,33721,9/4/2018 19:00
1293,Demanda real,33623,9/4/2018 19:10
1293,Demanda real,33725,9/4/2018 19:20
1293,Demanda real,33235,9/4/2018 19:30
1293,Demanda real,33232,9/4/2018 19:40
1293,Demanda real,33137,9/4/2018 19:50
1293,Demanda real,32919,9/4/2018 20:00
1293,Demanda real,33174,9/4/2018 20:10
1293,Demanda real,33386,9/4/2018 20:20
1293,Demanda real,33648,9/4/2018 20:30
1293,Demanda real,33950,9/4/2018 20:40
1293,Demanda real,34442,9/4/2018 20:50
1293,Demanda real,34530,9/4/2018 21:00
1293,Demanda real,34841,9/4/2018 21:10
1293,Demanda real,35101,9/4/2018 21:20
1293,Demanda real,34950,9/4/2018 21:30
1293,Demanda real,34389,9/4/2018 21:40
1293,Demanda real,34021,9/4/2018 21:50
1293,Demanda real,33388,9/4/2018 22:00
1293,Demanda real,33000,9/4/2018 22:10
1293,Demanda real,32457,9/4/2018 22:20
1293,Demanda real,31869,9/4/2018 22:30
1293,Demanda real,31529,9/4/2018 22:40
1293,Demanda real,31124,9/4/2018 22:50
1293,Demanda real,30538,9/4/2018 23:00
1293,Demanda real,30176,9/4/2018 23:10
1293,Demanda real,29875,9/4/2018 23:20
1293,Demanda real,29342,9/4/2018 23:30
1293,Demanda real,29296,9/4/2018 23:40
1293,Demanda real,28784,9/4/2018 23:50
1293,Demanda real,28325,9/5/2018 0:00
